trade_flow,period_date,year,month_number,month_name,hs_code,product_category,product_description,partner_country,record_type,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_value_column,source_file
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,DJIBOUTI,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,ETHIOPIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,GERMANY,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,GUINEA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,HONG KONG,PARTNER,0.05,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,ISRAEL,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,ITALY,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,KENYA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,KOREA RP,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,LEBANON,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,MADAGASCAR,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,MALAWI,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,MAURITIUS,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,MOZAMBIQUE,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,NIGERIA,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,SRI LANKA DSR,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,TANZANIA REP,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,THAILAND,PARTNER,0.13,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,U ARAB EMTS,PARTNER,0.0,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,U S A,PARTNER,0.01,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,Total,TOTAL,0.19,R,KGS,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71031042/71031042_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,ARMENIA,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,AUSTRALIA,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,AUSTRIA,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,BAHARAIN IS,PARTNER,0.01,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,BELGIUM,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,BRAZIL,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,CANADA,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,CHINA P RP,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,DENMARK,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,FRANCE,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,GERMANY,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,GREECE,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,HONG KONG,PARTNER,23.56,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,INDONESIA,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,ISRAEL,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,ITALY,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,JAPAN,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,MADAGASCAR,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,MAURITIUS,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,MOZAMBIQUE,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,MYANMAR,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,NORWAY,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,SINGAPORE,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,SPAIN,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,SRI LANKA DSR,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,SWITZERLAND,PARTNER,0.01,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,THAILAND,PARTNER,0.56,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,U ARAB EMTS,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,U K,PARTNER,0.0,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,U S A,PARTNER,0.08,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
import,2022-02-01,2022,2,February,71039110,Ruby,Ruby - otherwise worked,Total,TOTAL,24.23,R,CTM,2026-08-21,Feb-2022  (R),gemstrategy_data/raw/import/71039110/71039110_2022_02.html
