fact_id,date_key,hs_code,country_key,trade_flow_key,is_total,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_file
24242,202211,71039110,NEPAL,export,0,0.06,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24243,202211,71039110,NETHERLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24244,202211,71039110,NEW CALEDONIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24245,202211,71039110,NEW ZEALAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24246,202211,71039110,NIGERIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24247,202211,71039110,NORWAY,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24248,202211,71039110,OMAN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24249,202211,71039110,PANAMA REPUBLIC,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24250,202211,71039110,PERU,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24251,202211,71039110,PHILIPPINES,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24252,202211,71039110,POLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24253,202211,71039110,PORTUGAL,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24254,202211,71039110,QATAR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24255,202211,71039110,ROMANIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24256,202211,71039110,RUSSIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24257,202211,71039110,SAUDI ARAB,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
